AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen(V),R,L,C,,Frequency(Hz),Gen(V),R,L,C,, σ_gen,σ_R,σ_L,σ_C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,,,,,,,,,,,,,,,
17999.801,3.1,1.524,7.871,8.28,,19998.782,3.117,1.446,8.33,7.096,,29999.508,3.172,0.565,4.805,1.795,,39998.946,3.185,0.336,3.959,0.719,,,,,,,17999.801,0.024,0.282,1.955,5.428,,19998.782,0.277,6.048,1.452,4.958,,29999.508,0.149,5.318,0.81,4.445,,39998.946,3.185,0.336,3.959,0.719,,,,,,,,,,,,,,,,
17999.882,3.1,1.524,7.872,8.281,,19998.788,3.131,1.446,8.323,7.098,,29999.533,3.172,0.564,4.806,1.795,,39998.533,0.295,5.259,1.028,4.65,,,,,,,17999.882,0.022,0.28,1.953,5.426,,19998.788,0.293,6.055,1.455,4.962,,29999.533,0.149,5.317,0.809,4.444,,39998.533,0.295,5.259,1.028,4.65,,,,,,,,,,,,,,,,
17999.926,3.101,1.524,7.872,8.28,,19997.866,3.129,1.446,8.325,7.098,,29999.633,3.172,0.565,4.806,1.796,,39998.864,3.188,0.336,3.962,0.72,,,,,,,17999.926,0.023,0.282,1.956,5.429,,19997.866,0.292,6.055,1.458,4.962,,29999.633,0.147,5.317,0.809,4.444,,39998.864,3.188,0.336,3.962,0.72,,,,,,,,,,,,,,,,
17999.917,3.101,1.524,7.872,8.279,,19998.738,3.13,1.446,8.324,7.098,,29999.386,3.172,0.565,4.806,1.795,,39998.975,0.287,5.255,1.018,4.644,,,,,,,17999.917,0.024,0.282,1.956,5.429,,19998.738,0.291,6.054,1.455,4.961,,29999.386,0.149,5.317,0.809,4.444,,39998.975,0.287,5.255,1.018,4.644,,,,,,,,,,,,,,,,
17999.943,3.101,1.524,7.871,8.28,,19998.631,3.122,1.446,8.328,7.097,,29999.331,3.173,0.565,4.805,1.796,,39998.533,3.197,0.336,3.976,0.721,,,,,,,17999.943,0.023,0.281,1.954,5.427,,19998.631,0.282,6.049,1.453,4.959,,29999.331,0.151,5.318,0.81,4.445,,39998.533,3.197,0.336,3.976,0.721,,,,,,,,,,,,,,,,
18000.115,3.1,1.524,7.872,8.28,,19998.699,3.117,1.446,8.33,7.096,,29999.609,3.172,0.564,4.806,1.795,,39998.652,0.287,5.255,1.019,4.644,,,,,,,18000.115,0.022,0.281,1.954,5.428,,19998.699,0.277,6.048,1.452,4.958,,29999.609,0.147,5.315,0.809,4.442,,39998.652,0.287,5.255,1.019,4.644,,,,,,,,,,,,,,,,
18000.091,3.1,1.524,7.873,8.28,,19998.814,3.127,1.446,8.326,7.097,,29999.405,3.171,0.564,4.807,1.795,,39998.975,3.192,0.336,3.967,0.72,,,,,,,18000.091,0.022,0.281,1.955,5.428,,19998.814,0.287,6.05,1.454,4.96,,29999.405,0.146,5.315,0.808,4.442,,39998.975,3.192,0.336,3.967,0.72,,,,,,,,,,,,,,,,
17999.855,3.1,1.524,7.875,8.283,,19998.771,3.122,1.446,8.328,7.096,,29999.449,3.171,0.564,4.807,1.795,,39999.077,0.291,5.257,1.023,4.647,,,,,,,17999.855,0.021,0.278,1.951,5.424,,19998.771,0.282,6.049,1.453,4.959,,29999.449,0.147,5.315,0.809,4.442,,39999.077,0.291,5.257,1.023,4.647,,,,,,,,,,,,,,,,
17999.942,3.101,1.524,7.872,8.28,,19998.936,3.129,1.446,8.325,7.097,,29999.289,3.17,0.564,4.808,1.794,,39998.652,3.191,0.336,3.965,0.72,,,,,,,17999.942,0.023,0.281,1.954,5.427,,19998.936,0.288,6.051,1.454,4.961,,29999.289,0.145,5.314,0.808,4.441,,39998.652,3.191,0.336,3.965,0.72,,,,,,,,,,,,,,,,
17999.917,3.1,1.524,7.873,8.279,,19999.053,3.137,1.446,8.32,7.099,,29999.436,3.171,0.564,4.807,1.794,,39999.193,0.291,5.258,1.024,4.648,,,,,,,17999.917,0.024,0.283,1.957,5.43,,19999.053,0.297,6.056,1.456,4.963,,29999.436,0.146,5.314,0.808,4.442,,39999.193,0.291,5.258,1.024,4.648,,,,,,,,,,,,,,,,
17999.999,3.1,1.524,7.877,8.283,,19999.2,3.133,1.446,8.322,7.098,,29999.546,3.172,0.565,4.806,1.796,,39999.077,3.196,0.336,3.974,0.721,,,,,,,17999.999,0.02,0.277,1.951,5.423,,19999.2,0.292,6.052,1.455,4.961,,29999.546,0.149,5.317,0.809,4.445,,39999.077,3.196,0.336,3.974,0.721,,,,,,,,,,,,,,,,
17999.94,3.1,1.524,7.87,8.28,,19999.176,3.135,1.446,8.321,7.099,,29999.542,3.171,0.564,4.807,1.795,,39999.046,0.279,5.251,1.011,4.64,,,,,,,17999.94,0.023,0.281,1.954,5.428,,19999.176,0.294,6.053,1.456,4.962,,29999.542,0.147,5.315,0.809,4.443,,39999.046,0.279,5.251,1.011,4.64,,,,,,,,,,,,,,,,
17999.856,3.1,1.524,7.875,8.282,,19998.978,3.136,1.446,8.32,7.099,,29999.49,3.168,0.564,4.809,1.794,,39999.193,3.197,0.336,3.974,0.721,,,,,,,17999.856,0.022,0.279,1.952,5.426,,19998.978,0.296,6.056,1.456,4.962,,29999.49,0.141,5.311,0.807,4.438,,39999.193,3.197,0.336,3.974,0.721,,,,,,,,,,,,,,,,
17999.809,3.1,1.524,7.872,8.281,,19998.964,3.123,1.446,8.328,7.097,,29999.237,3.172,0.564,4.806,1.795,,39998.568,0.271,5.249,1.004,4.637,,,,,,,17999.809,0.022,0.28,1.953,5.426,,19998.964,0.283,6.05,1.453,4.956,,29999.237,0.149,5.317,0.809,4.444,,39998.568,0.271,5.249,1.004,4.637,,,,,,,,,,,,,,,,
17999.933,3.1,1.524,7.872,8.281,,19998.564,3.117,1.446,8.33,7.096,,29999.521,3.171,0.564,4.807,1.795,,39999.046,3.185,0.336,3.956,0.719,,,,,,,17999.933,0.022,0.279,1.953,5.426,,19998.564,0.277,6.051,1.452,4.958,,29999.521,0.146,5.314,0.808,4.442,,39999.046,3.185,0.336,3.956,0.719,,,,,,,,,,,,,,,,
17999.884,3.101,1.524,7.87,8.28,,19998.842,3.125,1.446,8.326,7.097,,29999.411,3.169,0.564,4.809,1.794,,39999.135,0.282,5.252,1.016,4.642,,,,,,,17999.884,0.023,0.282,1.956,5.429,,19998.842,0.285,6.05,1.454,4.96,,29999.411,0.141,5.312,0.807,4.439,,39999.135,0.282,5.252,1.016,4.642,,,,,,,,,,,,,,,,
17999.912,3.1,1.524,7.871,8.28,,19998.63,3.129,1.446,8.325,7.098,,29999.027,3.166,0.564,4.812,1.793,,39998.568,3.178,0.336,3.948,0.719,,,,,,,17999.912,0.023,0.28,1.954,5.427,,19998.63,0.29,6.054,1.455,4.961,,29999.027,0.136,5.309,0.806,4.436,,39998.568,3.178,0.336,3.948,0.719,,,,,,,,,,,,,,,,
18000.05,3.101,1.524,7.873,8.281,,19998.901,3.124,1.446,8.327,7.098,,29999.237,3.169,0.564,4.809,1.794,,39998.846,0.269,5.247,1.002,4.636,,,,,,,18000.05,0.021,0.279,1.952,5.426,,19998.901,0.284,6.05,1.453,4.96,,29999.237,0.144,5.313,0.808,4.44,,39998.846,0.269,5.247,1.002,4.636,,,,,,,,,,,,,,,,
18000.099,3.101,1.524,7.874,8.279,,19999.353,3.131,1.446,8.324,7.098,,29999.171,3.166,0.564,4.811,1.793,,39999.135,3.189,0.336,3.964,0.72,,,,,,,18000.099,0.023,0.282,1.956,5.429,,19999.353,0.29,6.051,1.455,4.957,,29999.171,0.136,5.309,0.807,4.436,,39999.135,3.189,0.336,3.964,0.72,,,,,,,,,,,,,,,,
17999.873,3.101,1.524,7.871,8.279,,19998.973,3.128,1.446,8.325,7.098,,29999.151,3.166,0.564,4.811,1.793,,39998.185,0.282,5.253,1.014,4.642,,,,,,,17999.873,0.023,0.281,1.954,5.428,,19998.973,0.288,6.054,1.454,4.96,,29999.151,0.136,5.309,0.807,4.436,,39998.185,0.282,5.253,1.014,4.642,,,,,,,,,,,,,,,,
17999.888,3.1,1.524,7.875,8.283,,19999.018,3.135,1.446,8.321,7.099,,29999.375,3.168,0.564,4.809,1.794,,39998.846,3.176,0.336,3.944,0.719,,,,,,,17999.888,0.021,0.278,1.951,5.424,,19999.018,0.295,6.056,1.456,4.962,,29999.375,0.141,5.312,0.807,4.439,,39998.846,3.176,0.336,3.944,0.719,,,,,,,,,,,,,,,,
18000.109,3.101,1.524,7.872,8.28,,19999.291,3.139,1.447,8.319,7.099,,29999.233,3.168,0.564,4.81,1.794,,39998.779,0.283,5.254,1.017,4.643,,,,,,,18000.109,0.021,0.281,1.953,5.427,,19999.291,0.298,6.053,1.456,4.959,,29999.233,0.14,5.31,0.807,4.438,,39998.779,0.283,5.254,1.017,4.643,,,,,,,,,,,,,,,,
17999.823,3.101,1.524,7.874,8.279,,19998.98,3.123,1.446,8.327,7.097,,29999.654,3.172,0.565,4.806,1.796,,39998.185,3.185,0.336,3.958,0.72,,,,,,,17999.823,0.023,0.281,1.955,5.428,,19998.98,0.282,6.049,1.453,4.956,,29999.654,0.147,5.316,0.809,4.443,,39998.185,3.185,0.336,3.958,0.72,,,,,,,,,,,,,,,,
17999.833,3.1,1.524,7.873,8.28,,19998.788,3.126,1.446,8.326,7.098,,29999.505,3.169,0.564,4.809,1.795,,39999.265,0.289,5.257,1.023,4.646,,,,,,,17999.833,0.022,0.28,1.953,5.425,,19998.788,0.287,6.054,1.454,4.96,,29999.505,0.142,5.313,0.808,4.44,,39999.265,0.289,5.257,1.023,4.646,,,,,,,,,,,,,,,,
17999.887,3.101,1.524,7.873,8.279,,19998.861,3.128,1.446,8.326,7.098,,29999.42,3.17,0.564,4.808,1.795,,39998.779,3.189,0.336,3.963,0.72,,,,,,,17999.887,0.023,0.283,1.957,5.43,,19998.861,0.288,6.051,1.454,4.96,,29999.42,0.145,5.314,0.808,4.441,,39998.779,3.189,0.336,3.963,0.72,,,,,,,,,,,,,,,,
17999.968,3.1,1.524,7.871,8.28,,19999.077,3.131,1.446,8.324,7.099,,29999.529,3.171,0.565,4.807,1.796,,39999.037,0.281,5.253,1.015,4.642,,,,,,,17999.968,0.022,0.28,1.953,5.426,,19999.077,0.29,6.051,1.455,4.961,,29999.529,0.146,5.315,0.809,4.443,,39999.037,0.281,5.253,1.015,4.642,,,,,,,,,,,,,,,,
17999.944,3.1,1.524,7.872,8.28,,19999.173,3.132,1.446,8.323,7.099,,29999.552,3.168,0.564,4.809,1.794,,39999.265,3.196,0.336,3.974,0.721,,,,,,,17999.944,0.022,0.279,1.952,5.425,,19999.173,0.292,6.052,1.455,4.958,,29999.552,0.14,5.312,0.807,4.439,,39999.265,3.196,0.336,3.974,0.721,,,,,,,,,,,,,,,,
17999.941,3.101,1.524,7.871,8.279,,19998.849,3.118,1.446,8.33,7.096,,29999.338,3.167,0.564,4.812,1.794,,39999.235,0.292,5.259,1.025,4.648,,,,,,,17999.941,0.023,0.282,1.955,5.428,,19998.849,0.277,6.048,1.452,4.955,,29999.338,0.137,5.31,0.806,4.437,,39999.235,0.292,5.259,1.025,4.648,,,,,,,,,,,,,,,,
17999.905,3.101,1.524,7.873,8.28,,19999.013,3.125,1.446,8.328,7.098,,29999.279,3.168,0.564,4.811,1.794,,39999.037,3.187,0.336,3.962,0.72,,,,,,,17999.905,0.022,0.279,1.952,5.425,,19999.013,0.284,6.05,1.453,4.956,,29999.279,0.14,5.311,0.807,4.438,,39999.037,3.187,0.336,3.962,0.72,,,,,,,,,,,,,,,,
17999.963,3.1,1.524,7.875,8.277,,19999.089,3.133,1.446,8.323,7.099,,29999.542,3.172,0.565,4.806,1.797,,39999.377,0.292,5.258,1.025,4.648,,,,,,,17999.963,0.024,0.283,1.957,5.43,,19999.089,0.292,6.052,1.455,4.961,,29999.542,0.149,5.318,0.81,4.445,,39999.377,0.292,5.258,1.025,4.648,,,,,,,,,,,,,,,,
17999.918,3.1,1.524,7.873,8.281,,19998.945,3.122,1.446,8.328,7.097,,29999.387,3.172,0.565,4.807,1.796,,39999.235,3.198,0.336,3.977,0.721,,,,,,,17999.918,0.021,0.278,1.951,5.424,,19998.945,0.281,6.05,1.453,4.959,,29999.387,0.148,5.316,0.809,4.443,,39999.235,3.198,0.336,3.977,0.721,,,,,,,,,,,,,,,,
17999.853,3.1,1.524,7.874,8.277,,19999.233,3.131,1.446,8.324,7.099,,29999.506,3.171,0.565,4.807,1.796,,39998.7,0.291,5.257,1.024,4.647,,,,,,,17999.853,0.024,0.282,1.956,5.429,,19999.233,0.29,6.051,1.455,4.957,,29999.506,0.147,5.316,0.809,4.443,,39998.7,0.291,5.257,1.024,4.647,,,,,,,,,,,,,,,,
17999.963,3.1,1.524,7.872,8.279,,19999.247,3.14,1.447,8.319,7.1,,29999.705,3.173,0.565,4.805,1.798,,39999.377,3.199,0.336,3.978,0.721,,,,,,,17999.963,0.022,0.279,1.952,5.425,,19999.247,0.299,6.054,1.457,4.963,,29999.705,0.15,5.319,0.81,4.446,,39999.377,3.199,0.336,3.978,0.721,,,,,,,,,,,,,,,,
18000.048,3.1,1.524,7.871,8.278,,19998.753,3.115,1.446,8.332,7.096,,29999.525,3.17,0.564,4.808,1.795,,39998.935,0.293,5.259,1.026,4.649,,,,,,,18000.048,0.023,0.281,1.955,5.428,,19998.753,0.274,6.048,1.452,4.958,,29999.525,0.144,5.314,0.808,4.441,,39998.935,0.293,5.259,1.026,4.649,,,,,,,,,,,,,,,,
17999.844,3.101,1.524,7.87,8.28,,19998.763,3.124,1.446,8.327,7.097,,29999.654,3.173,0.565,4.805,1.798,,39998.7,3.195,0.336,3.972,0.721,,,,,,,17999.844,0.023,0.28,1.953,5.427,,19998.763,0.284,6.053,1.453,4.96,,29999.654,0.15,5.319,0.81,4.446,,39998.7,3.195,0.336,3.972,0.721,,,,,,,,,,,,,,,,
17999.933,3.1,1.524,7.872,8.28,,19999.121,3.137,1.447,8.321,7.1,,29999.28,3.168,0.564,4.811,1.794,,39998.739,0.293,5.259,1.025,4.648,,,,,,,17999.933,0.022,0.28,1.953,5.426,,19999.121,0.297,6.053,1.456,4.963,,29999.28,0.14,5.31,0.807,4.437,,39998.739,0.293,5.259,1.025,4.648,,,,,,,,,,,,,,,,
17999.936,3.101,1.524,7.872,8.277,,19999.145,3.134,1.446,8.322,7.099,,29999.407,3.17,0.564,4.809,1.795,,39998.935,3.198,0.336,3.976,0.721,,,,,,,17999.936,0.023,0.282,1.957,5.429,,19999.145,0.294,6.052,1.455,4.962,,29999.407,0.145,5.314,0.808,4.441,,39998.935,3.198,0.336,3.976,0.721,,,,,,,,,,,,,,,,
17999.865,3.1,1.524,7.872,8.279,,19999.083,3.136,1.447,8.321,7.099,,29999.347,3.171,0.565,4.808,1.796,,39998.437,0.28,5.252,1.013,4.641,,,,,,,17999.865,0.023,0.28,1.953,5.426,,19999.083,0.296,6.053,1.456,4.959,,29999.347,0.148,5.315,0.809,4.442,,39998.437,0.28,5.252,1.013,4.641,,,,,,,,,,,,,,,,
17999.977,3.101,1.524,7.871,8.278,,19999.321,3.141,1.447,8.317,7.1,,29999.631,3.173,0.565,4.806,1.797,,39998.739,3.197,0.336,3.974,0.721,,,,,,,17999.977,0.022,0.281,1.954,5.427,,19999.321,0.301,6.054,1.457,4.96,,29999.631,0.151,5.318,0.81,4.445,,39998.739,3.197,0.336,3.974,0.721,,,,,,,,,,,,,,,,
17999.849,3.101,1.524,7.87,8.279,,19999.191,3.139,1.447,8.319,7.1,,29999.583,3.173,0.565,4.805,1.798,,39998.075,0.274,5.249,1.005,4.638,,,,,,,17999.849,0.023,0.28,1.953,5.427,,19999.191,0.299,6.054,1.457,4.963,,29999.583,0.151,5.319,0.81,4.446,,39998.075,0.274,5.249,1.005,4.638,,,,,,,,,,,,,,,,
17999.877,3.1,1.524,7.869,8.278,,19999.13,3.136,1.447,8.321,7.1,,29999.21,3.168,0.564,4.81,1.795,,39998.437,3.184,0.336,3.956,0.72,,,,,,,17999.877,0.023,0.282,1.955,5.428,,19999.13,0.296,6.053,1.456,4.962,,29999.21,0.143,5.312,0.807,4.439,,39998.437,3.184,0.336,3.956,0.72,,,,,,,,,,,,,,,,
18000.067,3.101,1.524,7.872,8.278,,19999.163,3.136,1.446,8.321,7.099,,29999.628,3.171,0.564,4.808,1.796,,39999.066,0.284,5.254,1.016,4.643,,,,,,,18000.067,0.023,0.28,1.954,5.427,,19999.163,0.296,6.053,1.456,4.959,,29999.628,0.147,5.314,0.809,4.442,,39999.066,0.284,5.254,1.016,4.643,,,,,,,,,,,,,,,,
18000.121,3.101,1.524,7.872,8.279,,19999.344,3.139,1.447,8.319,7.1,,29999.246,3.169,0.564,4.81,1.795,,39998.075,3.178,0.336,3.948,0.719,,,,,,,18000.121,0.021,0.279,1.952,5.425,,19999.344,0.299,6.054,1.457,4.963,,29999.246,0.143,5.311,0.807,4.439,,39998.075,3.178,0.336,3.948,0.719,,,,,,,,,,,,,,,,
17999.881,3.101,1.524,7.872,8.277,,19998.503,3.121,1.446,8.329,7.097,,29999.467,3.17,0.564,4.809,1.795,,39999.084,0.284,5.253,1.017,4.643,,,,,,,17999.881,0.024,0.282,1.956,5.429,,19998.503,0.282,6.052,1.453,4.959,,29999.467,0.145,5.313,0.808,4.44,,39999.084,0.284,5.253,1.017,4.643,,,,,,,,,,,,,,,,
18000.082,3.1,1.524,7.872,8.279,,19999.198,3.137,1.447,8.321,7.1,,29999.025,3.171,0.565,4.808,1.796,,39999.066,3.19,0.336,3.965,0.72,,,,,,,18000.082,0.021,0.279,1.952,5.425,,19999.198,0.296,6.053,1.456,4.962,,29999.025,0.15,5.316,0.809,4.443,,39999.066,3.19,0.336,3.965,0.72,,,,,,,,,,,,,,,,
17999.988,3.1,1.524,7.873,8.28,,19998.737,3.126,1.446,8.327,7.098,,29999.528,3.171,0.565,4.808,1.796,,39998.764,0.274,5.249,1.006,4.638,,,,,,,17999.988,0.021,0.278,1.951,5.424,,19998.737,0.286,6.053,1.454,4.96,,29999.528,0.148,5.316,0.809,4.443,,39998.764,0.274,5.249,1.006,4.638,,,,,,,,,,,,,,,,
17999.737,3.1,1.524,7.874,8.28,,19998.864,3.131,1.446,8.324,7.099,,29999.523,3.173,0.565,4.806,1.798,,39999.084,3.19,0.336,3.966,0.721,,,,,,,17999.737,0.022,0.277,1.951,5.424,,19998.864,0.291,6.055,1.455,4.961,,29999.523,0.151,5.319,0.81,4.446,,39999.084,3.19,0.336,3.966,0.721,,,,,,,,,,,,,,,,
17999.975,3.101,1.524,7.873,8.277,,19999.416,3.13,1.446,8.324,7.098,,29999.045,3.171,0.565,4.808,1.796,,39998.169,0.271,5.248,1.004,4.636,,,,,,,17999.975,0.023,0.282,1.956,5.429,,19999.416,0.288,6.051,1.454,4.957,,29999.045,0.149,5.316,0.809,4.443,,39998.169,0.271,5.248,1.004,4.636,,,,,,,,,,,,,,,,
