
Frequency,Channel 0,Channel 1,Channel 2,Channel 3
17399.865,0.008,0.513,2.179,5.638
17599.766,0.004,0.451,2.119,5.58
17799.786,0.004,0.39,2.06,5.524
17899.811,0.005,0.36,2.031,5.497
17999.801,0.006,0.336,2.007,5.475
18099.858,0.001,0.3,1.973,5.441
18199.884,0.004,0.271,1.945,5.415
18299.724,0.001,0.238,1.913,5.384
18399.749,6.283,0.206,1.882,5.355
18599.804,0.005,0.153,1.83,5.306
18799.801,0.003,0.095,1.775,5.251
18899.823,0.002,0.065,1.746,5.224
18999.703,0.002,0.037,1.719,5.199
19099.771,6.28,0.005,1.688,5.17
19199.743,6.281,6.263,1.663,5.147
19299.778,6.283,6.24,1.64,5.126
19399.809,6.282,6.212,1.615,5.099
19499.807,0,6.187,1.591,5.076
19699.93,6.282,6.137,1.542,5.031
19899.757,6.278,6.088,1.495,4.986
20099.851,6.282,6.046,1.455,4.948
20199.792,6.283,6.025,1.435,4.929
20299.857,0.001,6.005,1.416,4.912
20399.922,0,5.985,1.397,4.894
20499.839,0.002,5.967,1.38,4.878
20599.708,0.001,5.947,1.361,4.861
20699.76,6.281,5.923,1.338,4.837
20799.752,6.28,5.903,1.319,4.82
20899.767,0.001,5.89,1.307,4.809
20999.809,0.001,5.872,1.291,4.794
21099.818,6.281,5.853,1.272,4.777
21199.847,0.002,5.841,1.261,4.767
21299.863,6.28,5.82,1.241,4.748
21499.746,6.281,5.788,1.212,4.721
21599.77,0,5.776,1.2,4.71
21699.815,0.002,5.764,1.189,4.7
21799.769,0.005,5.753,1.179,4.691
21899.847,6.282,5.733,1.16,4.674
21999.873,0.004,5.726,1.154,4.669
22099.675,0.005,5.712,1.141,4.657
22199.677,0.003,5.698,1.128,4.645
22299.747,0.005,5.688,1.119,4.637
22399.783,6.283,5.671,1.103,4.622
22499.808,0.002,5.662,1.095,4.616
22699.796,0.002,5.638,1.073,4.596
22899.707,0.007,5.624,1.06,4.586
23099.718,0.004,5.601,1.04,4.567
23299.803,0,5.578,1.019,4.549
23399.778,0.003,5.572,1.013,4.545
23599.852,0.006,5.558,1.001,4.535
23799.725,0.004,5.54,0.985,4.521
23899.703,0.002,5.53,0.977,4.514
23999.728,0.006,5.526,0.974,4.512
24099.735,0.008,5.519,0.968,4.508
24199.805,0.006,5.512,0.961,4.502
24299.861,0.007,5.506,0.957,4.499
24399.833,0.011,5.503,0.954,4.497
24499.552,0.007,5.492,0.944,4.488
24699.714,0.003,5.475,0.929,4.476
24899.783,0.011,5.472,0.927,4.478
25099.862,0.009,5.457,0.915,4.467
25199.675,0.011,5.455,0.913,4.467
25299.632,0.006,5.444,0.903,4.458
25399.718,0.004,5.437,0.897,4.454
25499.695,0.012,5.44,0.901,4.459
25599.751,0.011,5.433,0.896,4.455
25699.729,0.011,5.429,0.892,4.452
25899.811,0.013,5.421,0.886,4.449
26099.672,0.011,5.41,0.877,4.443
26199.756,0.008,5.402,0.871,4.438
26299.693,0.012,5.403,0.872,4.44
26399.751,0.011,5.397,0.867,4.437
26499.753,0.009,5.391,0.862,4.433
26599.781,0.012,5.39,0.862,4.434
26699.799,0.013,5.387,0.86,4.434
26899.685,0.01,5.377,0.851,4.428
27099.735,0.015,5.375,0.852,4.431
27199.743,0.014,5.371,0.848,4.429
27299.684,0.012,5.365,0.843,4.425
27399.741,0.011,5.361,0.84,4.424
27499.839,0.008,5.354,0.835,4.42
27599.687,0.011,5.355,0.836,4.422
27699.724,0.011,5.351,0.834,4.421
27799.728,0.013,5.351,0.834,4.423
27899.712,0.013,5.347,0.831,4.422
27999.727,0.012,5.345,0.829,4.421
28099.794,0.008,5.338,0.823,4.417
28199.798,0.016,5.343,0.829,4.424
28399.643,0.013,5.334,0.823,4.42
28599.654,0.016,5.332,0.822,4.422
28699.669,0.015,5.329,0.82,4.422
28799.713,0.014,5.325,0.817,4.421
28899.758,0.017,5.326,0.819,4.424
28999.752,0.011,5.318,0.811,4.418
29099.67,0.016,5.321,0.816,4.424
29199.631,0.014,5.317,0.812,4.421
29299.697,0.01,5.31,0.807,4.417
29399.697,0.013,5.312,0.809,4.421
29499.692,0.013,5.309,0.807,4.421
29599.716,0.017,5.311,0.81,4.425
29699.742,0.012,5.304,0.804,4.421
29799.805,0.016,5.307,0.808,4.426
29899.57,0.016,5.304,0.806,4.425
29999.677,0.017,5.304,0.807,4.428
30199.674,0.01,5.293,0.797,4.422
30399.722,0.01,5.29,0.796,4.423
30599.596,0.017,5.295,0.802,4.432
30699.535,0.019,5.294,0.803,4.434
30799.656,0.014,5.288,0.798,4.431
30899.675,0.02,5.292,0.803,4.438
30999.689,0.02,5.291,0.803,4.439
31199.74,0.02,5.288,0.801,4.44
31399.613,0.014,5.279,0.794,4.436
31499.601,0.02,5.284,0.8,4.443
31699.643,0.017,5.278,0.796,4.443
31899.708,0.012,5.271,0.791,4.441
31999.742,0.021,5.279,0.8,4.451
32099.768,0.015,5.271,0.793,4.446
32199.564,0.022,5.277,0.799,4.454
32299.624,0.013,5.267,0.79,4.447
32399.638,0.02,5.273,0.797,4.455
32499.646,0.021,5.273,0.798,4.457
32599.653,0.019,5.27,0.796,4.457
32699.704,0.013,5.263,0.79,4.452
32899.747,0.023,5.271,0.799,4.465
32999.57,0.016,5.264,0.793,4.46
33199.63,0.02,5.267,0.797,4.468
33299.602,0.022,5.266,0.799,4.471
33399.705,0.014,5.258,0.791,4.465
33499.775,0.019,5.263,0.796,4.471
33599.734,0.014,5.257,0.791,4.468
33699.576,0.017,5.259,0.794,4.472
33799.556,0.024,5.265,0.801,4.481
33899.625,0.018,5.258,0.795,4.477
33999.603,0.023,5.262,0.8,4.483
34099.685,0.02,5.258,0.797,4.482
34299.707,0.022,5.259,0.8,4.488
34499.609,0.025,5.262,0.804,4.495
34599.582,0.021,5.256,0.799,4.492
34799.559,0.021,5.255,0.799,4.496
34899.657,0.017,5.251,0.796,4.495
34999.671,0.024,5.256,0.803,4.503
